symbol,name,dimension,isSI,category,baseUnit,conversionRef,isExact,A,B,C,D,underlyingDef,description
%,percent,1,true,atom-allowed,Euc,NIST-SI,true,0,0.01,1,0,1/100 Euc,"Parts per hundred. This is one of the few symbols which can be used with multiple unit classes. It can be used with each class that represent a ratio of like quantities (e.g., mass per mass)."
ppk,part per thousand,1,false,atom,Euc,DEFINITION,true,0,1E-3,1,0,,A ratio of values divided by 1000 where the original values were in the same units.
ppm,part per million,1,false,atom,Euc,DEFINITION,true,0,1E-6,1,0,,A ratio of values divided by 1E6 where the original values were in the same units.
Euc,euclid,1,true,atom-allowed,IS-BASE,,,,,,,,"A dimensionless unit of proportion, named after the Greek mathematician, Euclid. It represents the SI implied unit of ""1"" which is sometimes called a ""dimensionless derived unit""."
byte,byte,1,false,atom,bit,DEFINITION,true,0,8,1,0,8 bit,8 bit byte.
bit,bit,1,true,atom-allowed,IS-BASE,,,,,,,Euc,A bit (a contraction of binary digit) is the basic unit of information in computing and telecommunications. A bit can have only two values: either 1 or 0.
%[mass],percent [mass basis],1,false,atom,kg/kg,DEFINITION,true,0,0.01,1,0,,"The percent of mass relative to mass. That is, mass divided by mass divided 100 where the original mass values were in the same units."
ppm[mass],part per million [mass basis],1,false,atom,kg/kg,DEFINITION,true,0,1E-6,1,0,1E-6 kg/kg,"The parts per million of mass relative to mass. That is, mass divided by mass divided by 1E6 where the original mass values were in the same units."
%[area],percent [area basis],1,false,atom,m2/m2,DERIVED,true,0,0.01,1,0,,
%[vol],percent [volume basis],1,false,atom,m3/m3,DEFINITION,true,0,0.01,1,0,1/100 m3/m3,"The percent of volume relative to volume That is, volume divided by volume divided by 100 where the original volume values were in the same units."
ppm[vol],part per million [volume basis],1,false,atom,m3/m3,DEFINITION,true,0,1E-6,1,0,1E-6 m3/m3,"The parts per million of volume relative to volume That is, volume divided by volume divided by 1E6 where the original volume values were in the same units."
%[molar],percent [molar basis],1,false,atom,mol/mol,DERIVED,true,0,0.01,1,0,,
(bbl/d)/(bbl/d),(barrel per day) per (barrel per day),1,false,derived,(m3/s)/(m3/s),DERIVED,true,0,1,1,0,,
(m3/d)/(m3/d),(cubic metre per day) per (cubic metre per day),1,true,derived,(m3/s)/(m3/s),DERIVED,true,0,1,1,0,,
1E6 (ft3/d)/(bbl/d),(million cubic foot per day) per (barrel per day),1,false,derived,(m3/s)/(m3/s),DERIVED,true,0,28.316846592E3,0.158987294928,0,,
(m3/s)/(m3/s),(cubic metre per second) per (cubic metre per second),1,true,derived,IS-BASE,,,,,,,Euc,
